date,platform,vehicle_model,impressions,clicks,cost_brl,leads
2026-01-05,Google Ads,Yamaha NMAX 160,7284,408,1592.56,56
2026-01-05,Google Ads,Yamaha Crosser 150,8123,393,967.7,24
2026-01-05,Google Ads,Yamaha Fazer 250,6548,280,1147.25,38
2026-01-06,Meta Ads,Yamaha MT-07,2382,79,140.1,9
2026-01-06,Meta Ads,Yamaha NMAX 160,4716,97,249.61,9
2026-01-06,Meta Ads,Yamaha Crosser 150,5798,289,600.5,18
2026-01-06,Meta Ads,Yamaha Fazer 250,8088,459,651.76,46
2026-01-06,Google Ads,Yamaha MT-07,2256,118,389.29,8
2026-01-06,Google Ads,Yamaha NMAX 160,7579,523,996.1,52
2026-01-06,Google Ads,Yamaha Crosser 150,1541,121,228.99,16
2026-01-06,Google Ads,Yamaha Fazer 250,9329,373,479.85,19
2026-01-07,Meta Ads,Yamaha MT-07,2431,56,119.35,4
2026-01-07,Meta Ads,Yamaha NMAX 160,1204,43,73.79,5
2026-01-07,Meta Ads,Yamaha Crosser 150,1671,99,433.54,10
2026-01-07,Meta Ads,Yamaha Fazer 250,8345,527,1359.33,31
2026-01-07,Google Ads,Yamaha MT-07,3113,74,202.09,10
2026-01-07,Google Ads,Yamaha NMAX 160,8239,559,1401.25,79
2026-01-07,Google Ads,Yamaha Crosser 150,2750,76,268.69,11
2026-01-07,Google Ads,Yamaha Fazer 250,3723,96,191.83,4
2026-01-08,Meta Ads,Yamaha MT-07,6827,162,663.37,22
2026-01-08,Meta Ads,Yamaha NMAX 160,4740,276,947.29,17
2026-01-08,Meta Ads,Yamaha Crosser 150,6808,347,422.7,17
2026-01-08,Meta Ads,Yamaha Fazer 250,7132,253,866.83,20
2026-01-08,Google Ads,Yamaha MT-07,5658,423,1362.69,58
2026-01-08,Google Ads,Yamaha NMAX 160,6619,144,634.1,18
2026-01-08,Google Ads,Yamaha Crosser 150,7905,376,1358.0,24
2026-01-08,Google Ads,Yamaha Fazer 250,7068,557,1417.58,73
2026-01-09,Meta Ads,Yamaha MT-07,5945,412,1475.65,31
2026-01-09,Meta Ads,Yamaha NMAX 160,6842,401,544.96,34
2026-01-09,Meta Ads,Yamaha Crosser 150,9931,223,560.23,28
2026-01-09,Meta Ads,Yamaha Fazer 250,1630,109,487.38,11
2026-01-09,Google Ads,Yamaha MT-07,7707,310,1113.66,32
2026-01-09,Google Ads,Yamaha NMAX 160,1619,109,457.37,15
2026-01-09,Google Ads,Yamaha Crosser 150,3217,126,503.82,15
2026-01-09,Google Ads,Yamaha Fazer 250,5369,427,1056.77,45
2026-01-10,Meta Ads,Yamaha MT-07,9575,192,692.51,28
2026-01-10,Meta Ads,Yamaha NMAX 160,8361,516,1835.56,49
2026-01-10,Meta Ads,Yamaha Crosser 150,1018,61,87.72,4
2026-01-10,Meta Ads,Yamaha Fazer 250,7358,331,1217.45,19
2026-01-10,Google Ads,Yamaha MT-07,4554,268,558.09,13
2026-01-10,Google Ads,Yamaha NMAX 160,9801,415,567.14,46
2026-01-10,Google Ads,Yamaha Crosser 150,4641,161,568.01,14
2026-01-10,Google Ads,Yamaha Fazer 250,3761,287,1051.67,35
2026-01-11,Meta Ads,Yamaha MT-07,9690,334,791.28,20
2026-01-11,Meta Ads,Yamaha NMAX 160,3687,290,838.26,17
2026-01-11,Meta Ads,Yamaha Crosser 150,7773,524,1409.18,35
2026-01-11,Meta Ads,Yamaha Fazer 250,3854,233,862.81,11
2026-01-11,Google Ads,Yamaha MT-07,3891,188,670.05,14
2026-01-11,Google Ads,Yamaha NMAX 160,7111,223,778.79,16
2026-01-11,Google Ads,Yamaha Crosser 150,5172,359,1431.72,26
2026-01-11,Google Ads,Yamaha Fazer 250,5478,350,1200.92,22
2026-01-12,Meta Ads,Yamaha MT-07,3505,186,682.2,24
2026-01-12,Meta Ads,Yamaha NMAX 160,6866,224,906.73,31
2026-01-12,Meta Ads,Yamaha Crosser 150,8542,533,1725.23,34
2026-01-12,Meta Ads,Yamaha Fazer 250,1269,74,144.92,7
2026-01-12,Google Ads,Yamaha MT-07,7855,420,1018.44,53
2026-01-12,Google Ads,Yamaha NMAX 160,7416,242,734.79,32
2026-01-12,Google Ads,Yamaha Crosser 150,4358,126,553.73,11
2026-01-12,Google Ads,Yamaha Fazer 250,7305,521,1238.59,65
2026-01-13,Meta Ads,Yamaha MT-07,1985,88,152.42,10
2026-01-13,Meta Ads,Yamaha NMAX 160,2895,113,299.0,15
2026-01-13,Meta Ads,Yamaha Crosser 150,7726,587,2479.6,66
2026-01-13,Meta Ads,Yamaha Fazer 250,5670,130,338.81,17
2026-01-13,Google Ads,Yamaha MT-07,3965,109,192.41,14
2026-01-13,Google Ads,Yamaha NMAX 160,6929,323,925.47,19
2026-01-13,Google Ads,Yamaha Crosser 150,6300,415,844.52,56
2026-01-13,Google Ads,Yamaha Fazer 250,1609,62,257.37,7
2026-01-14,Meta Ads,Yamaha MT-07,8891,479,1388.01,28
2026-01-14,Meta Ads,Yamaha NMAX 160,2499,116,375.43,15
2026-01-14,Meta Ads,Yamaha Crosser 150,2466,69,286.28,3
2026-01-14,Meta Ads,Yamaha Fazer 250,2893,154,367.05,21
2026-01-14,Google Ads,Yamaha MT-07,1946,38,122.59,4
2026-01-14,Google Ads,Yamaha NMAX 160,4590,270,1174.52,17
2026-01-14,Google Ads,Yamaha Crosser 150,1507,109,331.64,14
2026-01-14,Google Ads,Yamaha Fazer 250,3645,175,454.08,26
2026-01-15,Meta Ads,Yamaha MT-07,8620,484,1800.57,49
2026-01-15,Meta Ads,Yamaha NMAX 160,1494,69,225.74,7
2026-01-15,Meta Ads,Yamaha Crosser 150,7869,242,928.61,20
2026-01-15,Meta Ads,Yamaha Fazer 250,6014,332,1426.8,28
2026-01-15,Google Ads,Yamaha MT-07,8349,624,1926.92,42
2026-01-15,Google Ads,Yamaha NMAX 160,5588,336,1211.86,36
2026-01-15,Google Ads,Yamaha Crosser 150,4797,343,560.66,41
2026-01-15,Google Ads,Yamaha Fazer 250,5645,134,336.25,13
2026-01-16,Meta Ads,Yamaha MT-07,7468,265,319.44,23
2026-01-16,Meta Ads,Yamaha NMAX 160,7801,561,691.55,71
2026-01-16,Meta Ads,Yamaha Crosser 150,4114,99,228.18,8
2026-01-16,Meta Ads,Yamaha Fazer 250,5151,284,833.84,35
2026-01-16,Google Ads,Yamaha MT-07,1153,41,133.66,5
2026-01-16,Google Ads,Yamaha NMAX 160,9857,411,1570.01,59
2026-01-16,Google Ads,Yamaha Crosser 150,4723,149,224.39,15
2026-01-16,Google Ads,Yamaha Fazer 250,2674,75,270.18,9
2026-01-17,Meta Ads,Yamaha MT-07,6413,142,392.88,11
2026-01-17,Meta Ads,Yamaha NMAX 160,6935,186,379.94,24
2026-01-17,Meta Ads,Yamaha Crosser 150,7353,348,971.15,43
2026-01-17,Meta Ads,Yamaha Fazer 250,8688,454,1913.0,40
2026-01-17,Google Ads,Yamaha MT-07,1835,92,112.63,10
2026-01-17,Google Ads,Yamaha NMAX 160,8619,657,1427.87,64
2026-01-17,Google Ads,Yamaha Crosser 150,3248,66,255.77,9
2026-01-17,Google Ads,Yamaha Fazer 250,6670,295,518.68,43
2026-01-18,Meta Ads,Yamaha MT-07,4382,100,247.47,8
2026-01-18,Meta Ads,Yamaha NMAX 160,2502,177,434.88,17
2026-01-18,Meta Ads,Yamaha Crosser 150,1151,88,337.96,6
2026-01-18,Meta Ads,Yamaha Fazer 250,6904,213,418.96,24
2026-01-18,Google Ads,Yamaha MT-07,5076,196,352.76,19
2026-01-18,Google Ads,Yamaha NMAX 160,7368,192,601.08,18
2026-01-18,Google Ads,Yamaha Crosser 150,8170,550,1754.25,63
2026-01-18,Google Ads,Yamaha Fazer 250,2840,163,507.99,20
2026-01-19,Meta Ads,Yamaha MT-07,6335,216,611.59,30
2026-01-19,Meta Ads,Yamaha NMAX 160,6491,456,1367.29,26
2026-01-19,Meta Ads,Yamaha Crosser 150,8281,523,1071.42,63
2026-01-19,Meta Ads,Yamaha Fazer 250,9159,505,1364.92,51
2026-01-19,Google Ads,Yamaha MT-07,7865,204,587.57,10
2026-01-19,Google Ads,Yamaha NMAX 160,1754,70,85.64,8
2026-01-19,Google Ads,Yamaha Crosser 150,2428,171,283.81,17
2026-01-19,Google Ads,Yamaha Fazer 250,5196,360,447.78,37
2026-01-20,Meta Ads,Yamaha MT-07,9624,238,436.14,23
2026-01-20,Meta Ads,Yamaha NMAX 160,3850,180,789.52,15
2026-01-20,Meta Ads,Yamaha Crosser 150,4513,143,616.96,21
2026-01-20,Meta Ads,Yamaha Fazer 250,5938,286,1269.16,35
2026-01-20,Google Ads,Yamaha MT-07,7854,346,1465.7,39
2026-01-20,Google Ads,Yamaha NMAX 160,6024,439,1212.02,44
2026-01-20,Google Ads,Yamaha Crosser 150,5210,263,789.26,22
2026-01-20,Google Ads,Yamaha Fazer 250,5335,249,1083.54,35
2026-01-21,Meta Ads,Yamaha MT-07,9445,304,1240.96,17
2026-01-21,Meta Ads,Yamaha NMAX 160,4928,177,557.49,21
2026-01-21,Meta Ads,Yamaha Crosser 150,9101,556,2468.78,66
2026-01-21,Meta Ads,Yamaha Fazer 250,4808,257,734.81,16
2026-01-21,Google Ads,Yamaha MT-07,7611,358,629.76,40
2026-01-21,Google Ads,Yamaha NMAX 160,9493,287,1109.5,34
2026-01-21,Google Ads,Yamaha Crosser 150,3711,268,360.01,20
2026-01-21,Google Ads,Yamaha Fazer 250,6684,231,450.49,19
2026-01-22,Meta Ads,Yamaha MT-07,2996,60,119.15,8
2026-01-22,Meta Ads,Yamaha NMAX 160,3367,128,190.12,6
2026-01-22,Meta Ads,Yamaha Crosser 150,5264,277,844.11,28
2026-01-22,Meta Ads,Yamaha Fazer 250,7458,229,350.19,12
2026-01-22,Google Ads,Yamaha MT-07,1583,120,179.25,12
2026-01-22,Google Ads,Yamaha NMAX 160,5240,321,1023.37,19
2026-01-22,Google Ads,Yamaha Crosser 150,5477,419,1791.11,29
2026-01-22,Google Ads,Yamaha Fazer 250,7524,332,1109.61,39
2026-01-23,Meta Ads,Yamaha MT-07,9853,514,2202.45,68
2026-01-23,Meta Ads,Yamaha NMAX 160,1372,68,122.58,7
2026-01-23,Meta Ads,Yamaha Crosser 150,9855,546,1599.62,42
2026-01-23,Meta Ads,Yamaha Fazer 250,5460,134,296.2,15
2026-01-23,Google Ads,Yamaha MT-07,8378,218,953.58,25
2026-01-23,Google Ads,Yamaha NMAX 160,8727,211,848.02,27
2026-01-23,Google Ads,Yamaha Crosser 150,5490,215,649.88,11
2026-01-23,Google Ads,Yamaha Fazer 250,3985,182,743.93,14
2026-01-24,Meta Ads,Yamaha MT-07,3460,269,1034.4,30
2026-01-24,Meta Ads,Yamaha NMAX 160,8069,220,713.81,25
2026-01-24,Meta Ads,Yamaha Crosser 150,3289,129,195.13,19
2026-01-24,Meta Ads,Yamaha Fazer 250,5019,190,349.0,11
2026-01-24,Google Ads,Yamaha MT-07,5608,413,782.77,30
2026-01-24,Google Ads,Yamaha NMAX 160,7217,379,464.82,22
2026-01-24,Google Ads,Yamaha Crosser 150,4574,355,1327.64,35
2026-01-24,Google Ads,Yamaha Fazer 250,4872,182,454.19,15
2026-01-25,Meta Ads,Yamaha MT-07,9399,600,1753.29,34
2026-01-25,Meta Ads,Yamaha NMAX 160,8062,430,1784.55,63
2026-01-25,Meta Ads,Yamaha Crosser 150,2211,114,189.89,5
2026-01-25,Meta Ads,Yamaha Fazer 250,2079,133,291.81,12
2026-01-25,Google Ads,Yamaha MT-07,9720,502,1907.69,67
2026-01-25,Google Ads,Yamaha NMAX 160,1889,70,87.35,7
2026-01-25,Google Ads,Yamaha Crosser 150,4367,321,952.48,33
2026-01-25,Google Ads,Yamaha Fazer 250,7539,590,781.11,48
2026-01-26,Meta Ads,Yamaha MT-07,9104,707,2312.18,53
2026-01-26,Meta Ads,Yamaha NMAX 160,4963,273,660.7,26
2026-01-26,Meta Ads,Yamaha Crosser 150,9656,472,1081.99,58
2026-01-26,Meta Ads,Yamaha Fazer 250,7044,432,1326.73,51
2026-01-26,Google Ads,Yamaha MT-07,4428,251,877.72,21
2026-01-26,Google Ads,Yamaha NMAX 160,9065,294,372.48,28
2026-01-26,Google Ads,Yamaha Crosser 150,1815,96,172.16,9
2026-01-26,Google Ads,Yamaha Fazer 250,3282,241,663.37,24
2026-01-27,Meta Ads,Yamaha MT-07,3924,99,432.18,12
2026-01-27,Meta Ads,Yamaha NMAX 160,7708,184,221.76,18
2026-01-27,Meta Ads,Yamaha Crosser 150,7683,267,716.98,13
2026-01-27,Meta Ads,Yamaha Fazer 250,4598,269,661.88,39
2026-01-27,Google Ads,Yamaha MT-07,7200,352,728.49,30
2026-01-27,Google Ads,Yamaha NMAX 160,9500,429,1881.53,50
2026-01-27,Google Ads,Yamaha Crosser 150,6247,491,1901.67,51
2026-01-27,Google Ads,Yamaha Fazer 250,3280,228,516.61,16
2026-01-28,Meta Ads,Yamaha MT-07,1818,80,152.69,6
2026-01-28,Meta Ads,Yamaha NMAX 160,5615,255,547.98,16
2026-01-28,Meta Ads,Yamaha Crosser 150,4955,147,566.47,18
2026-01-28,Meta Ads,Yamaha Fazer 250,7163,316,522.03,31
2026-01-28,Google Ads,Yamaha MT-07,1124,81,102.29,9
2026-01-28,Google Ads,Yamaha NMAX 160,5840,275,546.68,36
2026-01-28,Google Ads,Yamaha Crosser 150,5861,287,831.29,38
2026-01-28,Google Ads,Yamaha Fazer 250,3922,207,711.83,22
2026-01-29,Meta Ads,Yamaha MT-07,2614,91,316.32,12
2026-01-29,Meta Ads,Yamaha NMAX 160,9841,357,1455.17,35
2026-01-29,Meta Ads,Yamaha Crosser 150,6594,335,520.16,38
2026-01-29,Meta Ads,Yamaha Fazer 250,7621,453,1881.64,40
2026-01-29,Google Ads,Yamaha MT-07,3276,183,549.36,19
2026-01-29,Google Ads,Yamaha NMAX 160,1717,130,188.64,13
2026-01-29,Google Ads,Yamaha Crosser 150,5919,410,1102.75,41
2026-01-29,Google Ads,Yamaha Fazer 250,1356,85,126.72,11
2026-01-30,Meta Ads,Yamaha MT-07,5162,395,602.39,30
2026-01-30,Meta Ads,Yamaha NMAX 160,7787,479,1972.47,46
2026-01-30,Meta Ads,Yamaha Crosser 150,1309,78,287.66,4
2026-01-30,Meta Ads,Yamaha Fazer 250,7412,570,2145.89,44
2026-01-30,Google Ads,Yamaha MT-07,4536,91,239.11,9
2026-01-30,Google Ads,Yamaha NMAX 160,5107,269,1166.18,18
2026-01-30,Google Ads,Yamaha Crosser 150,9266,417,1107.06,47
2026-01-30,Google Ads,Yamaha Fazer 250,5942,408,1154.06,28
2026-01-31,Meta Ads,Yamaha MT-07,7196,373,1076.96,54
2026-01-31,Meta Ads,Yamaha NMAX 160,9135,258,1132.2,34
2026-01-31,Meta Ads,Yamaha Crosser 150,8463,299,393.22,27
2026-01-31,Meta Ads,Yamaha Fazer 250,5052,306,567.55,30
2026-01-31,Google Ads,Yamaha MT-07,7387,581,2093.73,66
2026-01-31,Google Ads,Yamaha NMAX 160,6298,272,551.97,18
2026-01-31,Google Ads,Yamaha Crosser 150,9662,265,824.77,30
2026-01-31,Google Ads,Yamaha Fazer 250,6767,515,1623.42,26
2026-02-01,Meta Ads,Yamaha MT-07,4460,158,209.28,17
2026-02-01,Meta Ads,Yamaha NMAX 160,5237,235,295.11,26
2026-02-01,Meta Ads,Yamaha Crosser 150,1362,33,129.02,3
2026-02-01,Meta Ads,Yamaha Fazer 250,8750,280,435.39,26
2026-02-01,Google Ads,Yamaha MT-07,5929,295,799.5,30
2026-02-01,Google Ads,Yamaha NMAX 160,6196,486,1706.2,48
2026-02-01,Google Ads,Yamaha Crosser 150,2351,107,163.24,11
2026-02-01,Google Ads,Yamaha Fazer 250,5929,372,450.79,20
2026-02-02,Meta Ads,Yamaha MT-07,4414,315,509.54,33
2026-02-02,Meta Ads,Yamaha NMAX 160,4071,242,637.33,20
2026-02-02,Meta Ads,Yamaha Crosser 150,4603,354,509.4,28
2026-02-02,Meta Ads,Yamaha Fazer 250,2757,103,215.21,6
2026-02-02,Google Ads,Yamaha MT-07,1743,72,276.12,7
2026-02-02,Google Ads,Yamaha NMAX 160,5856,205,715.95,26
2026-02-02,Google Ads,Yamaha Crosser 150,7030,426,1739.25,39
2026-02-02,Google Ads,Yamaha Fazer 250,3861,181,607.13,24
2026-02-03,Meta Ads,Yamaha MT-07,7180,311,897.94,44
2026-02-03,Meta Ads,Yamaha NMAX 160,4667,155,568.89,14
2026-02-03,Meta Ads,Yamaha Crosser 150,8021,338,611.24,31
2026-02-03,Meta Ads,Yamaha Fazer 250,8611,620,1666.9,31
2026-02-03,Google Ads,Yamaha MT-07,4712,143,332.46,12
2026-02-03,Google Ads,Yamaha NMAX 160,5703,418,1467.6,29
2026-02-03,Google Ads,Yamaha Crosser 150,9053,254,987.15,28
2026-02-03,Google Ads,Yamaha Fazer 250,4030,272,770.49,21
2026-02-04,Meta Ads,Yamaha MT-07,9284,292,1221.9,20
2026-02-04,Meta Ads,Yamaha NMAX 160,7141,182,651.85,11
2026-02-04,Meta Ads,Yamaha Crosser 150,3846,86,350.12,10
2026-02-04,Meta Ads,Yamaha Fazer 250,6723,354,1015.87,25
2026-02-04,Google Ads,Yamaha MT-07,7655,577,2048.87,50
2026-02-04,Google Ads,Yamaha NMAX 160,7283,394,1612.56,56
2026-02-04,Google Ads,Yamaha Crosser 150,3493,102,191.99,11
2026-02-04,Google Ads,Yamaha Fazer 250,1527,121,217.31,6
2026-02-05,Meta Ads,Yamaha MT-07,8222,373,1312.46,53
2026-02-05,Meta Ads,Yamaha NMAX 160,8815,698,1928.11,90
2026-02-05,Meta Ads,Yamaha Crosser 150,1318,99,409.55,12
2026-02-05,Meta Ads,Yamaha Fazer 250,5830,166,504.17,13
2026-02-05,Google Ads,Yamaha MT-07,9656,542,1346.39,57
2026-02-05,Google Ads,Yamaha NMAX 160,7995,218,872.07,19
2026-02-05,Google Ads,Yamaha Crosser 150,5158,370,1085.7,38
2026-02-05,Google Ads,Yamaha Fazer 250,6869,248,379.58,21
2026-02-06,Meta Ads,Yamaha MT-07,6809,306,541.2,18
2026-02-06,Meta Ads,Yamaha NMAX 160,2622,75,247.42,10
2026-02-06,Meta Ads,Yamaha Crosser 150,8490,200,252.4,29
2026-02-06,Meta Ads,Yamaha Fazer 250,6447,295,971.25,22
2026-02-06,Google Ads,Yamaha MT-07,3940,172,306.94,14
2026-02-06,Google Ads,Yamaha NMAX 160,1182,81,174.85,6
2026-02-06,Google Ads,Yamaha Crosser 150,6798,437,1780.07,49
2026-02-06,Google Ads,Yamaha Fazer 250,4562,280,448.38,15
2026-02-07,Meta Ads,Yamaha MT-07,1267,43,155.81,5
2026-02-07,Meta Ads,Yamaha NMAX 160,4345,266,815.65,15
2026-02-07,Meta Ads,Yamaha Crosser 150,5163,205,305.5,24
2026-02-07,Meta Ads,Yamaha Fazer 250,3954,115,502.32,6
2026-02-07,Google Ads,Yamaha MT-07,7311,553,1446.03,75
2026-02-07,Google Ads,Yamaha NMAX 160,4039,107,383.61,8
2026-02-07,Google Ads,Yamaha Crosser 150,7609,573,1196.93,85
2026-02-07,Google Ads,Yamaha Fazer 250,7659,557,1607.14,32
2026-02-08,Meta Ads,Yamaha MT-07,8796,645,1220.62,95
2026-02-08,Meta Ads,Yamaha NMAX 160,2540,73,199.85,8
2026-02-08,Meta Ads,Yamaha Crosser 150,8054,342,1515.69,27
2026-02-08,Meta Ads,Yamaha Fazer 250,4194,178,373.42,10
2026-02-08,Google Ads,Yamaha MT-07,4480,265,792.06,33
2026-02-08,Google Ads,Yamaha NMAX 160,7436,505,1116.58,48
2026-02-08,Google Ads,Yamaha Crosser 150,2904,171,251.31,10
2026-02-08,Google Ads,Yamaha Fazer 250,8775,209,621.81,25
2026-02-09,Meta Ads,Yamaha MT-07,2897,142,272.75,15
2026-02-09,Meta Ads,Yamaha NMAX 160,1248,77,122.49,5
2026-02-09,Meta Ads,Yamaha Crosser 150,8210,253,969.23,24
2026-02-09,Meta Ads,Yamaha Fazer 250,9112,671,1355.53,39
2026-02-09,Google Ads,Yamaha MT-07,9066,314,823.1,30
2026-02-09,Google Ads,Yamaha NMAX 160,1178,55,116.55,7
2026-02-09,Google Ads,Yamaha Crosser 150,2501,120,230.12,10
2026-02-09,Google Ads,Yamaha Fazer 250,2120,64,280.72,6
2026-02-10,Meta Ads,Yamaha MT-07,9654,476,750.17,27
2026-02-10,Meta Ads,Yamaha NMAX 160,5012,164,427.56,23
2026-02-10,Meta Ads,Yamaha Crosser 150,8607,547,1684.8,56
2026-02-10,Meta Ads,Yamaha Fazer 250,4556,212,698.25,28
2026-02-10,Google Ads,Yamaha MT-07,2251,81,358.92,6
2026-02-10,Google Ads,Yamaha NMAX 160,6681,521,1820.06,46
2026-02-10,Google Ads,Yamaha Crosser 150,4395,273,597.07,34
2026-02-10,Google Ads,Yamaha Fazer 250,2693,158,661.13,9
2026-02-11,Meta Ads,Yamaha MT-07,5808,269,530.59,24
2026-02-11,Meta Ads,Yamaha NMAX 160,4011,220,960.01,11
2026-02-11,Meta Ads,Yamaha Crosser 150,3680,210,415.08,22
2026-02-11,Meta Ads,Yamaha Fazer 250,3945,108,285.45,13
2026-02-11,Google Ads,Yamaha MT-07,2705,103,207.8,9
2026-02-11,Google Ads,Yamaha NMAX 160,1307,34,55.56,3
2026-02-11,Google Ads,Yamaha Crosser 150,8596,355,862.19,29
2026-02-11,Google Ads,Yamaha Fazer 250,1832,65,151.98,7
2026-02-12,Meta Ads,Yamaha MT-07,8848,577,2469.83,41
2026-02-12,Meta Ads,Yamaha NMAX 160,2607,57,253.22,7
2026-02-12,Meta Ads,Yamaha Crosser 150,1771,75,319.61,4
2026-02-12,Meta Ads,Yamaha Fazer 250,9897,527,1792.09,75
2026-02-12,Google Ads,Yamaha MT-07,9641,371,1529.62,29
2026-02-12,Google Ads,Yamaha NMAX 160,9752,593,1591.19,43
2026-02-12,Google Ads,Yamaha Crosser 150,4309,317,705.78,25
2026-02-12,Google Ads,Yamaha Fazer 250,9289,340,687.26,24
2026-02-13,Meta Ads,Yamaha MT-07,7970,184,729.2,26
2026-02-13,Meta Ads,Yamaha NMAX 160,8285,608,744.45,80
2026-02-13,Meta Ads,Yamaha Crosser 150,8965,307,1298.05,17
2026-02-13,Meta Ads,Yamaha Fazer 250,6938,424,1467.52,22
2026-02-13,Google Ads,Yamaha MT-07,7338,433,1215.39,55
2026-02-13,Google Ads,Yamaha NMAX 160,9187,582,1802.79,35
2026-02-13,Google Ads,Yamaha Crosser 150,5803,361,1073.35,34
2026-02-13,Google Ads,Yamaha Fazer 250,2194,137,204.96,15
2026-02-14,Meta Ads,Yamaha MT-07,6962,343,1205.63,50
2026-02-14,Meta Ads,Yamaha NMAX 160,2982,197,244.62,14
2026-02-14,Meta Ads,Yamaha Crosser 150,8126,513,829.8,28
2026-02-14,Meta Ads,Yamaha Fazer 250,7590,528,1692.42,54
2026-02-14,Google Ads,Yamaha MT-07,1707,67,174.24,4
2026-02-14,Google Ads,Yamaha NMAX 160,4346,336,1386.4,22
2026-02-14,Google Ads,Yamaha Crosser 150,8903,185,473.46,10
2026-02-14,Google Ads,Yamaha Fazer 250,8471,551,2027.8,45
2026-02-15,Meta Ads,Yamaha MT-07,3910,188,739.09,17
2026-02-15,Meta Ads,Yamaha NMAX 160,2848,157,234.87,19
2026-02-15,Meta Ads,Yamaha Crosser 150,6217,436,839.22,37
2026-02-15,Meta Ads,Yamaha Fazer 250,5417,270,1104.21,16
2026-02-15,Google Ads,Yamaha MT-07,3403,146,273.32,16
2026-02-15,Google Ads,Yamaha NMAX 160,7808,585,2347.77,63
2026-02-15,Google Ads,Yamaha Crosser 150,5723,148,239.75,8
2026-02-15,Google Ads,Yamaha Fazer 250,1560,68,111.19,6
2026-02-16,Meta Ads,Yamaha MT-07,5862,261,924.55,26
2026-02-16,Meta Ads,Yamaha NMAX 160,3808,102,419.87,7
2026-02-16,Meta Ads,Yamaha Crosser 150,3886,95,410.77,13
2026-02-16,Meta Ads,Yamaha Fazer 250,6277,333,525.66,48
2026-02-16,Google Ads,Yamaha MT-07,7023,209,280.01,22
2026-02-16,Google Ads,Yamaha NMAX 160,5451,253,923.76,26
2026-02-16,Google Ads,Yamaha Crosser 150,8081,472,1683.16,51
2026-02-16,Google Ads,Yamaha Fazer 250,2517,103,199.5,11
2026-02-17,Meta Ads,Yamaha MT-07,3529,94,149.99,13
2026-02-17,Meta Ads,Yamaha NMAX 160,7077,366,981.94,36
2026-02-17,Meta Ads,Yamaha Crosser 150,7975,259,561.05,17
2026-02-17,Meta Ads,Yamaha Fazer 250,2039,42,188.17,4
2026-02-17,Google Ads,Yamaha MT-07,5953,459,1099.82,29
2026-02-17,Google Ads,Yamaha NMAX 160,9008,366,1222.12,32
2026-02-17,Google Ads,Yamaha Crosser 150,6609,417,1647.8,37
